"id","state_id","code","name","cname","lower_name","code_full"
"1","1","HEA","Herat","赫拉特","herat","AFG000HEA"
"2","1","KBL","Kabul","喀布尔","kabul","AFG000KBL"
"3","1","KDH","Kandahar","坎大哈","kandahar","AFG000KDH"
"4","1","MZR","Mazar-i Sharif","马扎里沙里夫","mazar-i sharif","AFG000MZR"
"5","2","BGO","Bengo","本戈","bengo","AGO000BGO"
"6","2","BGU","Benguela","本格拉","benguela","AGO000BGU"
"7","2","BIE","Bie","比耶","bie","AGO000BIE"
"8","2","CAB","Cabinda","卡宾达","cabinda","AGO000CAB"
"9","2","CCU","Cuando Cubango","宽多库邦戈","cuando cubango","AGO000CCU"
"10","2","CNN","Cunene","库内内","cunene","AGO000CNN"
"11","2","CNO","Cuanza Norte","北宽扎","cuanza norte","AGO000CNO"
"12","2","CUS","Cuanza Sul","南宽扎","cuanza sul","AGO000CUS"
"13","2","HUA","Huambo","万博","huambo","AGO000HUA"
"14","2","HUI","Huila","威拉","huila","AGO000HUI"
"15","2","LNO","Lunda Norte","北隆达","lunda norte","AGO000LNO"
"16","2","LSU","Lunda Sul","南隆达","lunda sul","AGO000LSU"
"17","2","LUA","Luanda","罗安达","luanda","AGO000LUA"
"18","2","MAL","Malanje","马兰热","malanje","AGO000MAL"
"19","2","MOX","Moxico","莫希科","moxico","AGO000MOX"
"20","2","NAM","Namibe","纳米贝","namibe","AGO000NAM"
"21","2","UIG","Uige","威热","uige","AGO000UIG"
"22","2","ZAI","Zaire","扎伊尔","zaire","AGO000ZAI"
"23","3","BR","Berat","培拉特","berat","ALB0000BR"
"24","3","DI","Diber","迪勃拉","diber","ALB0000DI"
"25","3","DR","Durres","都拉斯","durres","ALB0000DR"
"26","3","EL","Elbasan","爱尔巴桑","elbasan","ALB0000EL"
"27","3","FR","Fier","费里","fier","ALB0000FR"
"28","3","GJ","Gjirokaster","吉诺卡斯特","gjirokaster","ALB0000GJ"
"29","3","KO","Korce","科尔察","korce","ALB0000KO"
"30","3","KU","Kukes","库克斯","kukes","ALB0000KU"
"31","3","LE","Lezhe","莱什","lezhe","ALB0000LE"
"32","3","SH","Shkoder","斯库台","shkoder","ALB0000SH"
"33","3","TR","Tirane","地拉那","tirane","ALB0000TR"
"34","3","VL","Vlore","发罗拉","vlore","ALB0000VL"
"35","4","2","Canillo","卡尼略","canillo","AND000002"
"36","4","3","Encamp","恩坎普","encamp","AND000003"
"37","4","4","La Massana","马萨纳","la massana","AND000004"
"38","4","5","Ordino","奥尔迪诺","ordino","AND000005"
"39","4","6","Sant Julia de Laria","圣胡利娅－德洛里亚","sant julia de laria","AND000006"
"40","4","7","Andorra la Vella","安道尔城","andorra la vella","AND000007"
"41","4","8","Escaldes-Engordany","莱塞斯卡尔德－恩戈尔达","escaldes-engordany","AND000008"
"42","5","AL","Al l'Ayn","艾因","al l'ayn","ARE0000AL"
"43","5","AZ","Abu Dhabi","阿布扎比","abu dhabi","ARE0000AZ"
"44","5","DU","Dubai","迪拜","dubai","ARE0000DU"
"45","5","SH","Ash Shariqah","沙迦","ash shariqah","ARE0000SH"
"46","6","AFA","San Rafael","圣拉斐尔","san rafael","ARG000AFA"
"47","6","BHI","Bahia Blanca","布兰卡港","bahia blanca","ARG000BHI"
"48","6","BUE","Buenos Aires","布宜诺斯艾利斯","buenos aires","ARG000BUE"
"49","6","CNQ","Corrientes","科连特斯","corrientes","ARG000CNQ"
"50","6","COC","Concordia","肯考迪娅","concordia","ARG000COC"
"51","6","COR","Cordoba","科尔多瓦","cordoba","ARG000COR"
"52","6","CRD","Comodoro Rivadavia","里瓦达维亚海军准将城","comodoro rivadavia","ARG000CRD"
"53","6","CTC","Catamarca","卡塔马卡","catamarca","ARG000CTC"
"54","6","FMA","Formosa","福莫萨","formosa","ARG000FMA"
"55","6","IRJ","La Rioja","拉里奥哈","la rioja","ARG000IRJ"
"56","6","JUJ","Jujuy","胡胡伊","jujuy","ARG000JUJ"
"57","6","LPG","La Plata","拉普拉塔","la plata","ARG000LPG"
"58","6","LUQ","San Luis","圣路易斯","san luis","ARG000LUQ"
"59","6","MDQ","Mar del Plata","马德普拉塔","mar del plata","ARG000MDQ"
"60","6","MDZ","Mendoza","门多萨","mendoza","ARG000MDZ"
"61","6","NQN","Neuquen","内乌肯","neuquen","ARG000NQN"
"62","6","PRA","Parana","巴拉那","parana","ARG000PRA"
"63","6","PSS","Posadas","波萨达斯","posadas","ARG000PSS"
"64","6","RCU","Rio Cuarto","里奥夸尔托","rio cuarto","ARG000RCU"
"65","6","REL","Trelew","特雷利乌","trelew","ARG000REL"
"66","6","RES","Resistencia","雷西斯滕匹亚","resistencia","ARG000RES"
"67","6","RGL","Rio Gallegos","里奥加耶戈斯","rio gallegos","ARG000RGL"
"68","6","ROS","Rosario","罗萨里奥","rosario","ARG000ROS"
"69","6","RSA","Santa Rosa","圣罗莎","santa rosa","ARG000RSA"
"70","6","RWO","Rawson","罗森","rawson","ARG000RWO"
"71","6","SDE","Santiago del Estero","圣地亚哥-德尔埃斯特罗","santiago del estero","ARG000SDE"
"72","6","SFN","Santa Fe","圣菲","santa fe","ARG000SFN"
"73","6","SLA","Salta","萨尔塔","salta","ARG000SLA"
"74","6","SMC","San Miguel de Tucuman","圣米格尔-德图库曼","san miguel de tucuman","ARG000SMC"
"75","6","SNS","San Nicolas","圣尼古拉斯","san nicolas","ARG000SNS"
