"id","city_id","code","name","cname","lower_name","code_full"
"1","453","2",,"长安区",,"CHN013001002"
"2","453","3",,"桥东区",,"CHN013001003"
"3","453","4",,"桥西区",,"CHN013001004"
"4","453","5",,"新华区",,"CHN013001005"
"5","453","7",,"井陉矿区",,"CHN013001007"
"6","453","8",,"裕华区",,"CHN013001008"
"7","453","21",,"井陉县",,"CHN013001021"
"8","453","23",,"正定县",,"CHN013001023"
"9","453","24",,"栾城县",,"CHN013001024"
"10","453","25",,"行唐县",,"CHN013001025"
"11","453","26",,"灵寿县",,"CHN013001026"
"12","453","27",,"高邑县",,"CHN013001027"
"13","453","28",,"深泽县",,"CHN013001028"
"14","453","29",,"赞皇县",,"CHN013001029"
"15","453","30",,"无极县",,"CHN013001030"
"16","453","31",,"平山县",,"CHN013001031"
"17","453","32",,"元氏县",,"CHN013001032"
"18","453","33",,"赵县",,"CHN013001033"
"19","453","81",,"辛集市",,"CHN013001081"
"20","453","82",,"藁城市",,"CHN013001082"
"21","453","83",,"晋州市",,"CHN013001083"
"22","453","84",,"新乐市",,"CHN013001084"
"23","453","85",,"鹿泉市",,"CHN013001085"
"24","454","2",,"路南区",,"CHN013002002"
"25","454","3",,"路北区",,"CHN013002003"
"26","454","4",,"古冶区",,"CHN013002004"
"27","454","5",,"开平区",,"CHN013002005"
"28","454","7",,"丰南区",,"CHN013002007"
"29","454","8",,"丰润区",,"CHN013002008"
"30","454","9",,"曹妃甸区",,"CHN013002009"
"31","454","23",,"滦　县",,"CHN013002023"
"32","454","24",,"滦南县",,"CHN013002024"
"33","454","25",,"乐亭县",,"CHN013002025"
"34","454","27",,"迁西县",,"CHN013002027"
"35","454","29",,"玉田县",,"CHN013002029"
"36","454","81",,"遵化市",,"CHN013002081"
"37","454","83",,"迁安市",,"CHN013002083"
"38","455","2",,"海港区",,"CHN013003002"
"39","455","3",,"山海关区",,"CHN013003003"
"40","455","4",,"北戴河区",,"CHN013003004"
"41","455","21",,"青龙满族自治县",,"CHN013003021"
"42","455","22",,"昌黎县",,"CHN013003022"
"43","455","23",,"抚宁县",,"CHN013003023"
"44","455","24",,"卢龙县",,"CHN013003024"
"45","456","2",,"邯山区",,"CHN013004002"
"46","456","3",,"丛台区",,"CHN013004003"
"47","456","4",,"复兴区",,"CHN013004004"
"48","456","6",,"峰峰矿区",,"CHN013004006"
"49","456","21",,"邯郸县",,"CHN013004021"
"50","456","23",,"临漳县",,"CHN013004023"
"51","456","24",,"成安县",,"CHN013004024"
"52","456","25",,"大名县",,"CHN013004025"
"53","456","26",,"涉　县",,"CHN013004026"
"54","456","27",,"磁　县",,"CHN013004027"
"55","456","28",,"肥乡县",,"CHN013004028"
"56","456","29",,"永年县",,"CHN013004029"
"57","456","30",,"邱　县",,"CHN013004030"
"58","456","31",,"鸡泽县",,"CHN013004031"
"59","456","32",,"广平县",,"CHN013004032"
"60","456","33",,"馆陶县",,"CHN013004033"
"61","456","34",,"魏　县",,"CHN013004034"
"62","456","35",,"曲周县",,"CHN013004035"
"63","456","81",,"武安市",,"CHN013004081"
"64","457","2",,"桥东区",,"CHN013005002"
"65","457","3",,"桥西区",,"CHN013005003"
"66","457","21",,"邢台县",,"CHN013005021"
"67","457","22",,"临城县",,"CHN013005022"
"68","457","23",,"内丘县",,"CHN013005023"
"69","457","24",,"柏乡县",,"CHN013005024"
"70","457","25",,"隆尧县",,"CHN013005025"
"71","457","26",,"任　县",,"CHN013005026"
"72","457","27",,"南和县",,"CHN013005027"
"73","457","28",,"宁晋县",,"CHN013005028"
"74","457","29",,"巨鹿县",,"CHN013005029"
"75","457","30",,"新河县",,"CHN013005030"
"76","457","31",,"广宗县",,"CHN013005031"
"77","457","32",,"平乡县",,"CHN013005032"
"78","457","33",,"威　县",,"CHN013005033"
"79","457","34",,"清河县",,"CHN013005034"
"80","457","35",,"临西县",,"CHN013005035"
"81","457","81",,"南宫市",,"CHN013005081"
"82","457","82",,"沙河市",,"CHN013005082"
"83","458","2",,"新市区",,"CHN013006002"
"84","458","3",,"北市区",,"CHN013006003"
"85","458","4",,"南市区",,"CHN013006004"
"86","458","21",,"满城县",,"CHN013006021"
"87","458","22",,"清苑县",,"CHN013006022"
"88","458","23",,"涞水县",,"CHN013006023"
"89","458","24",,"阜平县",,"CHN013006024"
"90","458","25",,"徐水县",,"CHN013006025"
"91","458","26",,"定兴县",,"CHN013006026"
"92","458","27",,"唐　县",,"CHN013006027"
"93","458","28",,"高阳县",,"CHN013006028"
"94","458","29",,"容城县",,"CHN013006029"
"95","458","30",,"涞源县",,"CHN013006030"
"96","458","31",,"望都县",,"CHN013006031"
"97","458","32",,"安新县",,"CHN013006032"
"98","458","33",,"易　县",,"CHN013006033"
"99","458","34",,"曲阳县",,"CHN013006034"
"100","458","35",,"蠡　县",,"CHN013006035"
"101","458","36",,"顺平县",,"CHN013006036"
"102","458","37",,"博野县",,"CHN013006037"
"103","458","38",,"雄　县",,"CHN013006038"
"104","458","81",,"涿州市",,"CHN013006081"
"105","458","82",,"定州市",,"CHN013006082"
"106","458","83",,"安国市",,"CHN013006083"
"107","458","84",,"高碑店市",,"CHN013006084"
"108","459","2",,"桥东区",,"CHN013007002"
"109","459","3",,"桥西区",,"CHN013007003"
"110","459","5",,"宣化区",,"CHN013007005"
"111","459","6",,"下花园区",,"CHN013007006"
"112","459","21",,"宣化县",,"CHN013007021"
"113","459","22",,"张北县",,"CHN013007022"
"114","459","23",,"康保县",,"CHN013007023"
"115","459","24",,"沽源县",,"CHN013007024"
"116","459","25",,"尚义县",,"CHN013007025"
"117","459","26",,"蔚　县",,"CHN013007026"
"118","459","27",,"阳原县",,"CHN013007027"
"119","459","28",,"怀安县",,"CHN013007028"
"120","459","29",,"万全县",,"CHN013007029"
"121","459","30",,"怀来县",,"CHN013007030"
"122","459","31",,"涿鹿县",,"CHN013007031"
"123","459","32",,"赤城县",,"CHN013007032"
"124","459","33",,"崇礼县",,"CHN013007033"
"125","460","2",,"双桥区",,"CHN013008002"
"126","460","3",,"双滦区",,"CHN013008003"
"127","460","4",,"鹰手营子矿区",,"CHN013008004"
"128","460","21",,"承德县",,"CHN013008021"
"129","460","22",,"兴隆县",,"CHN013008022"
"130","460","23",,"平泉县",,"CHN013008023"
"131","460","24",,"滦平县",,"CHN013008024"
"132","460","25",,"隆化县",,"CHN013008025"
"133","460","26",,"丰宁满族自治县",,"CHN013008026"
"134","460","27",,"宽城满族自治县",,"CHN013008027"
"135","460","28",,"围场满族蒙古族自治县",,"CHN013008028"
"136","461","2",,"新华区",,"CHN013009002"
"137","461","3",,"运河区",,"CHN013009003"
"138","461","21",,"沧　县",,"CHN013009021"
"139","461","22",,"青　县",,"CHN013009022"
"140","461","23",,"东光县",,"CHN013009023"
"141","461","24",,"海兴县",,"CHN013009024"
"142","461","25",,"盐山县",,"CHN013009025"
"143","461","26",,"肃宁县",,"CHN013009026"
"144","461","27",,"南皮县",,"CHN013009027"
"145","461","28",,"吴桥县",,"CHN013009028"
"146","461","29",,"献　县",,"CHN013009029"
"147","461","30",,"孟村回族自治县",,"CHN013009030"
"148","461","81",,"泊头市",,"CHN013009081"
"149","461","82",,"任丘市",,"CHN013009082"
"150","461","83",,"黄骅市",,"CHN013009083"
"151","461","84",,"河间市",,"CHN013009084"
"152","462","2",,"安次区",,"CHN013010002"
"153","462","3",,"广阳区",,"CHN013010003"
"154","462","22",,"固安县",,"CHN013010022"
"155","462","23",,"永清县",,"CHN013010023"
"156","462","24",,"香河县",,"CHN013010024"
"157","462","25",,"大城县",,"CHN013010025"
"158","462","26",,"文安县",,"CHN013010026"
"159","462","28",,"大厂回族自治县",,"CHN013010028"
"160","462","81",,"霸州市",,"CHN013010081"
"161","462","82",,"三河市",,"CHN013010082"
"162","463","2",,"桃城区",,"CHN013011002"
"163","463","21",,"枣强县",,"CHN013011021"
"164","463","22",,"武邑县",,"CHN013011022"
"165","463","23",,"武强县",,"CHN013011023"
"166","463","24",,"饶阳县",,"CHN013011024"
"167","463","25",,"安平县",,"CHN013011025"
"168","463","26",,"故城县",,"CHN013011026"
"169","463","27",,"景　县",,"CHN013011027"
"170","463","28",,"阜城县",,"CHN013011028"
"171","463","81",,"冀州市",,"CHN013011081"
"172","463","82",,"深州市",,"CHN013011082"
"173","464","5",,"小店区",,"CHN014001005"
"174","464","6",,"迎泽区",,"CHN014001006"
"175","464","7",,"杏花岭区",,"CHN014001007"
"176","464","8",,"尖草坪区",,"CHN014001008"
"177","464","9",,"万柏林区",,"CHN014001009"
"178","464","10",,"晋源区",,"CHN014001010"
"179","464","21",,"清徐县",,"CHN014001021"
"180","464","22",,"阳曲县",,"CHN014001022"
"181","464","23",,"娄烦县",,"CHN014001023"
"182","464","81",,"古交市",,"CHN014001081"
"183","465","2",,"城　区",,"CHN014002002"
"184","465","3",,"矿　区",,"CHN014002003"
"185","465","11",,"南郊区",,"CHN014002011"
"186","465","12",,"新荣区",,"CHN014002012"
"187","465","21",,"阳高县",,"CHN014002021"
"188","465","22",,"天镇县",,"CHN014002022"
"189","465","23",,"广灵县",,"CHN014002023"
"190","465","24",,"灵丘县",,"CHN014002024"
"191","465","25",,"浑源县",,"CHN014002025"
"192","465","26",,"左云县",,"CHN014002026"
"193","465","27",,"大同县",,"CHN014002027"
"194","466","2",,"城　区",,"CHN014003002"
"195","466","3",,"矿　区",,"CHN014003003"
"196","466","11",,"郊　区",,"CHN014003011"
"197","466","21",,"平定县",,"CHN014003021"
"198","466","22",,"盂　县",,"CHN014003022"
"199","467","2",,"城　区",,"CHN014004002"
"200","467","11",,"郊　区",,"CHN014004011"
"201","467","21",,"长治县",,"CHN014004021"
"202","467","23",,"襄垣县",,"CHN014004023"
"203","467","24",,"屯留县",,"CHN014004024"
"204","467","25",,"平顺县",,"CHN014004025"
"205","467","26",,"黎城县",,"CHN014004026"
"206","467","27",,"壶关县",,"CHN014004027"
"207","467","28",,"长子县",,"CHN014004028"
"208","467","29",,"武乡县",,"CHN014004029"
"209","467","30",,"沁　县",,"CHN014004030"
"210","467","31",,"沁源县",,"CHN014004031"
"211","467","81",,"潞城市",,"CHN014004081"
"212","468","2",,"城　区",,"CHN014005002"
"213","468","21",,"沁水县",,"CHN014005021"
"214","468","22",,"阳城县",,"CHN014005022"
"215","468","24",,"陵川县",,"CHN014005024"
"216","468","25",,"泽州县",,"CHN014005025"
"217","468","81",,"高平市",,"CHN014005081"
"218","469","2",,"朔城区",,"CHN014006002"
"219","469","3",,"平鲁区",,"CHN014006003"
"220","469","21",,"山阴县",,"CHN014006021"
"221","469","22",,"应　县",,"CHN014006022"
"222","469","23",,"右玉县",,"CHN014006023"
"223","469","24",,"怀仁县",,"CHN014006024"
"224","470","2",,"榆次区",,"CHN014007002"
"225","470","21",,"榆社县",,"CHN014007021"
"226","470","22",,"左权县",,"CHN014007022"
"227","470","23",,"和顺县",,"CHN014007023"
"228","470","24",,"昔阳县",,"CHN014007024"
"229","470","25",,"寿阳县",,"CHN014007025"
"230","470","26",,"太谷县",,"CHN014007026"
"231","470","27",,"祁　县",,"CHN014007027"
"232","470","28",,"平遥县",,"CHN014007028"
"233","470","29",,"灵石县",,"CHN014007029"
"234","470","81",,"介休市",,"CHN014007081"
"235","471","2",,"盐湖区",,"CHN014008002"
"236","471","21",,"临猗县",,"CHN014008021"
