"id","country_id","code","name","cname","lower_name","code_full","area_id"
"1","2",,,,,"AFG000",
"2","3",,,,,"AGO000",
"3","6",,,,,"ALB000",
"4","7",,,,,"AND000",
"5","9",,,,,"ARE000",
"6","10",,,,,"ARG000",
"7","11",,,,,"ARM000",
"8","13",,,,,"ASM000",
"9","17","NT","Northern Territory","北部地区","northern territory","AUS0NT",
"10","17","SA","South Australia","南澳大利亚","south australia","AUS0SA",
"11","17","WA","Western Australia","西澳大利亚","western australia","AUS0WA",
"12","17","ACT","Canberra","堪培拉","canberra","AUSACT",
"13","17","NSW","New South Wales","新南威尔士","new south wales","AUSNSW",
"14","17","QLD","Queensland","昆士兰","queensland","AUSQLD",
"15","17","TAS","Tasmania","塔斯马尼亚","tasmania","AUSTAS",
"16","17","VIC","Victoria","维多利亚","victoria","AUSVIC",
"17","18",,,,,"AUT000",
"18","19",,,,,"AZE000",
"19","20",,,,,"BDI000",
"20","21",,,,,"BEL000",
"21","22",,,,,"BEN000",
"22","23",,,,,"BFA000",
"23","24",,,,,"BGD000",
"24","25",,,,,"BGR000",
"25","26",,,,,"BHR000",
"26","28",,,,,"BIH000",
"27","29",,,,,"BLR000",
"28","30",,,,,"BLZ000",
"29","32",,,,,"BOL000",
"30","33",,,,,"BRA000",
"31","39",,,,,"CAF000",
"32","40",,,,,"CAN000",
"33","42",,,,,"CHE000",
"34","43",,,,,"CHL000",
"35","44","11","Beijing","北京","beijing","CHN011",
"36","44","12","Tianjin","天津","tianjin","CHN012",
"37","44","13","Hebei","河北","hebei","CHN013",
"38","44","14","Shanxi","山西","shanxi","CHN014",
"39","44","15","Inner Mongolia","内蒙古","inner mongolia","CHN015",
"40","44","21","Liaoning","辽宁","liaoning","CHN021",
"41","44","22","Jilin","吉林","jilin","CHN022",
"42","44","23","Heilongjiang","黑龙江","heilongjiang","CHN023",
"43","44","31","Shanghai","上海","shanghai","CHN031",
"44","44","32","Jiangsu","江苏","jiangsu","CHN032",
"45","44","33","Zhejiang","浙江","zhejiang","CHN033",
"46","44","34","Anhui","安徽","anhui","CHN034",
"47","44","35","Fujian","福建","fujian","CHN035",
"48","44","36","Jiangxi","江西","jiangxi","CHN036",
"49","44","37","Shandong","山东","shandong","CHN037",
"50","44","41","Henan","河南","henan","CHN041",
"51","44","42","Hubei","湖北","hubei","CHN042",
"52","44","43","Hunan","湖南","hunan","CHN043",
"53","44","44","Guangdong","广东","guangdong","CHN044",
"54","44","45","Guangxi","广西","guangxi","CHN045",
"55","44","46","Hainan","海南","hainan","CHN046",
"56","44","50","Chongqing","重庆","chongqing","CHN050",
"57","44","51","Sichuan","四川","sichuan","CHN051",
"58","44","52","Guizhou","贵州","guizhou","CHN052",
"59","44","53","Yunnan","云南","yunnan","CHN053",
